,url,title,subtitle,working_hours,address,rating_score,rating_note
10,/tierarzt/oberhausen/dr-stephan-hesselmann,Dr. Stephan Hesselmann,,"Heute: 09:00–12:00, 15:00–19:00","Kurfürstenstr. 134, 46147 Oberhausen",5,11 Empfehlungen
11,/tierarzt/leipzig/hans-juergen-raque,Hans-Jürgen Raqué,Tierarztpraxis,"Heute: 09:00–12:00, 15:00–18:00","Walter-Markov-Ring 5, 04288 Leipzig",5,11 Empfehlungen
12,/tierarzt/dresden/dr-heike-janosch,Dr. Heike Janosch,,"Heute: 10:00–11:00, 16:00–18:00","Gottfried-Keller-Straße 4, 01157 Dresden",5,11 Empfehlungen
13,/tierarzt/gelsenkirchen/rafael-melner-biniszkiewicz,Rafael Melner-Biniszkiewicz,,"Heute: 11:00–12:00, 16:00–19:00","Weberstraße 21, 45879 Gelsenkirchen",5,11 Empfehlungen
14,/tierarzt/rostock/dr-tido-winkler-und-barbara-richter,Dr. Tido Winkler und Barbara Richter,,"Heute: 09:00–11:00, 17:00–18:00","Fritz-Meyer-Scharffenberg-Weg 12a, 18109 Rostock",5,11 Empfehlungen
15,/tierarzt/bamberg/tim-glabasnia-und-dr-karin-glabasnia,Tim Glabasnia und Dr. Karin Glabasnia,,"Heute: 10:00–12:00, 16:00–18:30","Seehofstr. 45, 96052 Bamberg",5,10 Empfehlungen
16,/tierarzt/bedburg-hau/dr-stefan-hauck,Dr. Stefan Hauck,,"Heute: 09:00–12:00, 16:00–19:00","Bedburger Weide 13, 47551 Bedburg-Hau",5,10 Empfehlungen
17,/tierarzt/muenchen/dr-siegfried-graf,Dr. Siegfried Graf,,"Heute: 09:00–12:00, 16:00–19:00","Kardinal-Wendel-Str. 13, 81929 München",5,10 Empfehlungen
18,/tierarzt/castrop-rauxel/dr-claudia-kreutzjans-dr-natalie-thurek-dr-nadja-wilhelmi,"Dr. Claudia Kreutzjans, Dr. Natalie Thurek, Dr. Nadja Wilhelmi",Tierärztliche Praxis für Kleintiere,,"Erinstr. 27, 44575 Castrop-Rauxel",5,10 Empfehlungen
19,/tierarzt/waltrop/dr-annemarie-leps,Dr. Annemarie Leps,,"Heute: 08:30–12:30, 13:30–18:30","Mengeder Str. 17, 46731 Waltrop",5,10 Empfehlungen
20,/tierarzt/bielefeld/maceij-e-wilk,Maceij E. Wilk,,"Heute: 09:00–13:00, 16:00–20:00","Hägerweg 12, 33613 Bielefeld",5,10 Empfehlungen
21,/tierarzt/dresden/tae-juliane-kaftan-und-anne-kloetzer,TÄ Juliane Kaftan und Anne Klötzer,,"Heute: 10:00–12:00, 16:00–19:00","Loschwitzer Str. 3, 01309 Dresden",5,10 Empfehlungen
22,/tierarzt/muenchen/dr-cornelia-maul-und-sabine-herget,Dr. Cornelia Maul und Sabine Herget,,"Heute: 10:00–12:00, 16:00–19:00","Schwarzstr. 3 (Eingang Lilienstr. am deutschen Museum), 81669 München",5,10 Empfehlungen
23,/tierarzt/berlin/oliviero-lombardi,Oliviero Lombardi,,"Heute: 10:00–12:00, 16:00–19:00","Britzer Damm 13, 12347 Berlin",5,10 Empfehlungen
24,/tierarzt/ganderkesee/jens-cramer,Jens Cramer,Tierarztpraxis Cramer,"Heute: 09:00–10:00, 15:00–18:30","Osterfeuerberg 1, 27777 Ganderkesee",5,10 Empfehlungen
25,/tierarzt/langenhagen/dr-frank-duesterhoeft-und-dr-tanja-gerlach,Dr. Frank Düsterhöft und Dr. Tanja Gerlach,,"Heute: 09:00–12:00, 16:00–19:00","Kurt-Schumacher Allee 46, 30851 Langenhagen",5,10 Empfehlungen
26,/tierarzt/jena/max-ulrich-röcker,Max-Ulrich Röcker,TierGesundheitsZentrum Jena-West,"Heute: 10:00–12:00, 16:00–18:00","Erfurter Str. 50, 07743 Jena",5,9 Empfehlungen
27,/tierarzt/berlin/dr-thomas-goebel,Dr. Thomas Göbel,,"Heute: 09:00–12:00, 16:00–19:00","Mecklenburgische Str. 27, 14197 Berlin",5,9 Empfehlungen
28,/tierarzt/gevelsberg/dr-utz-willich,Dr. Utz Willich,,Heute: 08:00–18:00,"Gewerbestr. 24, 58285 Gevelsberg",5,9 Empfehlungen
29,/tierarzt/bochum/dr-julian-schloemer,Dr. Julian Schlömer,,Heute: 16:00–19:00,"Südstraße 85 (Ecke Wattenscheider Hellweg), 44867 Bochum",5,9 Empfehlungen
30,/tierarzt/berlin/uwe-lenk,Uwe Lenk,Tierarztpraxis,Heute: 08:00–20:00,"Schönfließer Straße 1, 10439 Berlin",5,9 Empfehlungen
31,/tierarzt/herne/dr-claudia-watzel,Dr. Claudia Watzel,,"Heute: 10:00–12:00, 15:00–19:00","Mont-Cenis-Str. 43, 44623 Herne",5,9 Empfehlungen
32,/tierarzt/berlin/cornelia-seithe,Cornelia Seithe,,"Heute: 09:00–11:00, 15:00–19:00","Uckermarkstr. 14, 12621 Berlin",5,9 Empfehlungen
33,/tierarzt/barleben/stefanie-behrens,Stefanie Behrens,,Heute: 09:00–12:00,"Bahnhofstraße 27/28, 39179 Barleben",5,9 Empfehlungen
34,/tierarzt/lich/britta-haesel,Britta Häsel,,"Heute: 08:00–11:30, 16:00–18:30","Kreuzweg 45, 35423 Lich",5,9 Empfehlungen
35,/tierarzt/alheim/daniel-brandau,Daniel Brandau,Tierarztpraxis Brandau,"Heute: 09:00–12:00, 16:00–18:00","Sterkelshäuser Str. 3, 36211 Alheim",5,9 Empfehlungen
36,/tierarzt/duesseldorf/dr-martin-sager-und-sandra-wingerning,Dr. Martin Sager und Sandra Wingerning,Tierambulatorium in Düsseldorf,"Heute: 10:00–12:00, 15:00–17:00","Harffstr. 25, 40591 Düsseldorf",5,8 Empfehlungen
37,/tierarzt/berlin/dres-demmler-und-wehming,Dres. Demmler und Wehming,,"Heute: 10:00–12:00, 16:00–19:00","Wiener Str. 25, 10999 Berlin",5,8 Empfehlungen
38,/tierarzt/kronshagen/joachim-grusdt,Joachim Grusdt,,"Heute: 11:00–12:00, 17:00–18:30","Kieler Str. 85, 24119 Kronshagen",5,8 Empfehlungen
39,/tierarzt/ellerau/dr-nadine-schroeder,Dr. Nadine Schröder,,"Heute: 10:00–12:00, 16:00–18:00","Hellhörn 18, 25479 Ellerau",5,8 Empfehlungen
40,/tierarzt/ratzeburg/dr-katja-wiencierz,Dr. Katja Wiencierz,Tierarztpraxis Vier Seen,"Heute: 10:00–12:00, 15:00–17:00","Schweriner Straße 84b, 23909 Ratzeburg",5,8 Empfehlungen
41,/tierarzt/hamburg/dr-corinna-cornand,Dr. Corinna Cornand,,Heute: 00:08–00:16,"Heidberg 45, 22301 Hamburg",5,8 Empfehlungen
42,/tierarzt/berlin/dr-ulrich-bemm,Dr. Ulrich Bemm,,"Heute: 10:00–12:00, 16:00–19:00","Krummenseer Straße 10, 12685 Berlin",5,8 Empfehlungen
43,/tierarzt/essen/dr-hartmut-metzlaff-und-anke-adami-metzlaff,Dr. Hartmut Metzlaff und Anke Adami-Metzlaff,,"Heute: 09:00–11:00, 16:00–19:00","Altendorfer Str. 390-392, 45143 Essen",5,8 Empfehlungen
44,/tierarzt/hannover/remon-gehrke,Remon Gehrke,,,"Varrelmannstr. 2, 30453 Hannover",5,8 Empfehlungen
45,/tierarzt/kamen/dr-elke-killing,Dr. Elke Killing,,Heute: 17:00–19:00,"Gartenweg 27, 59174 Kamen",5,8 Empfehlungen
46,/tierarzt/wedemark/uta-doepke,Uta Döpke,,,"Am Alten Freyhof 20, 30900 Wedemark",5,8 Empfehlungen
47,/tierarzt/neuss/dr-gerd-wilmering,Dr. Gerd Wilmering,Kleintierpraxis Dr. Wilmering,Heute: 07:30–20:00,"Kaarster Str. 194, 41462 Neuss",5,8 Empfehlungen
48,/tierarzt/sprockhoevel/brigitte-stuewe,Brigitte Stüwe,,"Heute: 10:00–12:00, 16:00–18:00","Alte Bergstraße 18, 45549 Sprockhövel",5,8 Empfehlungen
49,/tierarzt/fritzlar/sabine-dubielzig,Sabine Dubielzig,Kleintierpraxis in Fritzlar,"Heute: 08:00–12:00, 15:00–19:00","Wehrenpfad 3, 34560 Fritzlar",5,8 Empfehlungen
50,/tierarzt/oberhausen/dr-annette-gaer-mainzer,Dr. Annette Gaer-Mainzer,,"Heute: 09:00–12:00, 14:30–17:30","Tannenbergstraße 1, 46045 Oberhausen",5,8 Empfehlungen
51,/tierarzt/radebeul/dr-thomas-raabe,Dr. Thomas Raabe,,"Heute: 10:00–12:00, 16:00–19:00","Meißner Str. 96, 01445 Radebeul",5,8 Empfehlungen
52,/tierarzt/leipzig/manfred-seeliger,Manfred Seeliger,,"Heute: 09:00–12:00, 15:30–18:30","Kantstr. 47, 04275 Leipzig",5,8 Empfehlungen
53,/tierarzt/fritzlar/christian-schwering,Christian Schwering,,Heute: 08:00–12:00,"Gewerbering 12, 34560 Fritzlar",5,8 Empfehlungen
54,/tierarzt/essen/dr-bettina-bachem-driessen,Dr. Bettina Bachem-Drießen,,Heute: 13:00–14:00,"Donnerberg 22, 45357 Essen",5,8 Empfehlungen
55,/tierarzt/oberschleissheim/dr-stephan-henkel-und-dr-fenja-matzen,Dr. Stephan Henkel und Dr. Fenja Matzen,,,"Ringstr. 33, 85764 Oberschleißheim",5,8 Empfehlungen
56,/tierarzt/bad-oeynhausen/holger-und-bettina-gesing,Holger und Bettina Gesing,,,"Wallücker Weg 2, 32549 Bad Oeynhausen",5,8 Empfehlungen
57,/tierarzt/hamburg/dr-romina-turco-und-dr.-tarek-el--kashef,Dr. Romina Turco und Dr. Tarek El-Kashef,,"Heute: 08:30–13:30, 15:00–19:00","Saseler Chaussee 35, 22391 Hamburg",5,8 Empfehlungen
58,/tierarzt/fulda/guido-johannes-schmuck,Guido Johannes Schmuck,,"Heute: 08:00–09:00, 16:00–18:00","Königsberger Str. 16, 36039 Fulda",5,8 Empfehlungen
59,/tierarzt/berlin/tobias-krause,Tobias Krause,,"Heute: 09:30–12:00, 16:30–19:00","Sedanstr. 23, 12167 Berlin",5,8 Empfehlungen
60,/tierarzt/essen/dr-ricarda-haeuser,Dr. Ricarda Häuser,,"Heute: 09:00–12:00, 15:00–19:00","Schürmannstr. 25a, 45136 Essen",5,8 Empfehlungen
61,/tierarzt/muenchen/dr-klaus-sommer,Dr. Klaus Sommer,,Heute: 08:00–18:30,"Heiglhofstr. 1a, 81377 München",5,8 Empfehlungen
62,/tierarzt/oschersleben-bode/silke-knopf,Silke Knopf,,"Heute: 08:00–12:00, 15:00–18:00","Damaschkeweg 5, 39387 Oschersleben (Bode)",5,8 Empfehlungen
63,/tierarzt/berlin/sybille-schickert,Sybille Schickert,,"Heute: 10:00–12:30, 15:00–18:00","Eichborndamm 267 a, 13435 Berlin",5,8 Empfehlungen
64,/tierarzt/niefern-oeschelbronn/lutz-borghardt,Lutz Borghardt,Tierarztpraxis Niefern,,"Hebelstr. 10, 75223 Niefern-Öschelbronn",5,8 Empfehlungen
65,/tierarzt/leipzig/uwe-rieger,Uwe Rieger,,"Heute: 09:00–10:00, 16:00–19:30","Alte Dorfstr. 22, 04178 Leipzig",5,7 Empfehlungen
66,/tierarzt/duesseldorf/dr-stefan-hofmann,Dr. Stefan Hofmann,Tierarztpraxis Fidelios,Heute: 07:30–19:30,"Gräulinger Str. 80, 40625 Düsseldorf",5,7 Empfehlungen
67,/tierarzt/delmenhorst/dr-angelika-hoffmann-und-dr-med-vet-julia-hoffmann,Dr. Angelika Hoffmann und Dr. med. vet. Julia Hoffmann,Kleintierpraxis Delmenhorst,Heute: 08:00–20:00,"Bismarckstr. 45, 27749 Delmenhorst",5,7 Empfehlungen
68,/tierarzt/trier/dr-alexander-floeck,Dr. Alexander Flöck,Tierarztpraxis für Klein- und Heimtiere in Trier,"Heute: 09:00–12:30, 14:00–17:00","Herzogenbuscher Straße 3, 54292 Trier",5,7 Empfehlungen
69,/tierarzt/moenchengladbach/tiergesundheitszentrum-dr-guenther-schierz-und-dr-bildheim,Tiergesundheitszentrum Dr. Günther Schierz und Dr. Lisa-Marie Bildheim,Tiergesundheitszentrum - Fachtierarztpraxis für Kleintiere Augenheilkunde,"Heute: 09:00–12:00, 15:30–19:00","Künkelstraße 125, 41063 Mönchengladbach",5,7 Empfehlungen
70,/tierarzt/stolpen/fachpraxis-fuer-klein-und-grosstiere-dr-bernd-duering-und-dr-frank-duering,Fachpraxis für Klein und Großtiere Dr. Bernd Düring und Dr. Frank Düring,,"Heute: 09:00–12:00, 16:00–19:00","Alte Hauptstr. 15, 01833 Stolpen",5,7 Empfehlungen
71,/tierarzt/einbeck/dr-vanessa-löbert,Dr. Vanessa Löbert,,,"Otto-Hahn-Str. 9, 37574 Einbeck",5,7 Empfehlungen
72,/tierarzt/berlin/dr-horst-watzke,Dr. Horst Watzke,Tierarztpraxis am Wildrosengehölz,,"Hönower Str. 263, 12623 Berlin",5,7 Empfehlungen
73,/tierarzt/osterburken/dr-hubert-weniger,Dr. Hubert Weniger,,Heute: 15:30–18:00,"Adelsheimer Str. 49, 74706 Osterburken",5,7 Empfehlungen
74,/tierarzt/wilster/drhauke-thumann,Dr.Hauke Thumann,,"Heute: 08:00–09:00, 11:00–12:00, 14:00–15:00, 17:00–19:00","Neue Burger Str. 22, 25554 Wilster",5,7 Empfehlungen
75,/tierarzt/gladenbach/dr-corinna-heidrich,Dr. Corinna Heidrich,Mobile Tierarztpraxis für Kleintiere,Heute: 10:00–18:00,"Ringstrasse 32, 35075 Gladenbach",5,7 Empfehlungen
76,/tierarzt/nuernberg/dr-hubertus-a-meyer,Dr. Hubertus A. Meyer,,"Heute: 09:30–13:00, 15:00–18:30","Schillstr. 2, 90491 Nürnberg",5,7 Empfehlungen
77,/tierarzt/moenchengladbach/rita-otten,Rita Otten,,"Heute: 10:00–12:00, 16:00–18:00","Tomper Str. 116, 41169 Mönchengladbach",5,7 Empfehlungen
78,/tierarzt/hamburg/dr-michael-garner,Dr. Michael Garner,,"Heute: 08:30–13:00, 14:30–18:30","Eppendorfer Weg 50, 20259 Hamburg",5,7 Empfehlungen
79,/tierarzt/edemissen/dr-georg-heiber-und-dr-caroline-spickschen,Dr. Georg Heiber und Dr. Caroline Spickschen,,"Heute: 11:00–12:00, 17:00–19:00","Am Maschende 9a, 31234 Edemissen",5,7 Empfehlungen
80,/tierarzt/seelze/dr-elisabeth-ganter,Dr. Elisabeth Ganter,,"Heute: 10:00–11:00, 16:00–19:00","Auf dem Kampe 11, 30926 Seelze",5,7 Empfehlungen
81,/tierarzt/osnabrueck/dr-werner-stuehrenberg,Dr. Werner Stührenberg,,"Heute: 08:30–13:00, 15:30–19:00","Hermann-Eherls-Str. 16-18, 49082 Osnabrück",5,7 Empfehlungen
82,/tierarzt/bernau/dr-uwe-kuechenmeister,Dr. Uwe Küchenmeister,,Heute: 14:00–16:00,"Friedenstraße 60, 16321 Bernau",5,7 Empfehlungen
83,/tierarzt/frankfurt-am-main/maja-firle,Maja Firlé,Tierarztpraxis Maja Firlé,"Heute: 09:30–11:30, 17:00–19:00","Emser Straße 40, 60486 Frankfurt am Main",5,7 Empfehlungen
84,/tierarzt/weimar/nils-olma-und-gunter-zeise,Nils Olma und Gunter Zeise,,Heute: 10:00–19:00,"Cranachstr. 46, 99423 Weimar",5,7 Empfehlungen
85,/tierarzt/hoya/hiltrud-richter,Hiltrud Richter,,Heute: 15:00–16:00,"Lange Straße 64, 27318 Hoya",5,7 Empfehlungen
86,/tierarzt/harsefeld/dr-andre-mischke-und-dr-martin-wenzel,Dr. Andre Mischke und Dr. Martin Wenzel,Kleintierzentrum Harsefeld,,"Weißenfelderstraße 8, 21698 Harsefeld",5,7 Empfehlungen
87,/tierarzt/witzenhausen/kathrin-turban,Kathrin Turban,,"Heute: 10:00–12:00, 17:00–19:00","Carl-Jaeger-Weg 2, 37213 Witzenhausen",5,7 Empfehlungen
88,/tierarzt/duesseldorf/lesia-ag-zentrum-fuer-tiermed-tieraerztliche-klinik-fuer-kleintiere,Tierklinik Düsseldorf Zentrum,,Heute: 08:00–22:00,"Adlerstraße 63, 40211 Düsseldorf",5,7 Empfehlungen
89,/tierarzt/coppenbruegge/dr-silvio-mueller,Dr. Silvio Müller,Tierärztliche Praxis für Pferde und Kleintiere,Heute: 16:00–18:00,"Woltweg 7, 31863 Coppenbrügge",5,7 Empfehlungen
90,/tierarzt/esslingen/dr-anja-kleinschroth,Dr. Anja Kleinschroth,Tierärztliche Praxis für Kleintiere,"Heute: 10:00–12:00, 16:00–19:00","Olgastr. 31, 73728 Esslingen",5,7 Empfehlungen
91,/tierarzt/schwerin/svea-lucas,Svea Lucas,Kleintierpraxis,"Heute: 10:00–12:00, 14:00–18:00","Am Margaretenhof 12, 19057 Schwerin",5,7 Empfehlungen
92,/tierarzt/magdeburg/norma-weiss,Norma Weiß,,"Heute: 09:00–11:00, 16:00–19:00","Olvenstedter Chaussee 104, 39130 Magdeburg",5,7 Empfehlungen
93,/tierarzt/detmold/dr-markus-bueker,Dr. Markus Büker,,Heute: 16:00–18:00,"Gutenbergstraße 26, 32756 Detmold",5,7 Empfehlungen
94,/tierarzt/wiesbaden/dr-kristine-hucke,Dr. Kristine Hucke,Tierarztpraxis für Kleintiere,"Heute: 08:30–12:00, 15:30–18:00","Dotzheimer Str. 135a, 65197 Wiesbaden",5,7 Empfehlungen
95,/tierarzt/lohmar/dr-gereon-winkler,Dr. Gereon Winkler,,"Heute: 08:00–14:00, 15:00–19:00","Walterscheid-Müller-Str. 9, 53797 Lohmar",5,7 Empfehlungen
96,/tierarzt/hessisch-lichtenau/dr-antina-wappler-und-dr-olaf-wappler,Dr. Antina Wappler und Dr. Olaf Wappler,,"Heute: 08:00–12:00, 16:00–18:00","Walbachsmühle 1, 37235 Hessisch Lichtenau",5,7 Empfehlungen
97,/tierarzt/wuppertal/dr-michael-schmidt,Dr. Michael Schmidt,,"Heute: 09:30–11:30, 15:30–18:00","Katernberger Str. 96, 42115 Wuppertal",5,7 Empfehlungen
98,/tierarzt/bremen/nina-berg,Nina Berg,,Heute: 18:00–19:00,"Kattenescher Weg 26, 28277 Bremen",5,7 Empfehlungen
99,/tierarzt/moenchengladbach/dr-johanna-prem,Dr. Johanna Prem,,"Heute: 10:00–12:00, 16:00–18:00","Winkelner Straße 37, 41169 Mönchengladbach",5,7 Empfehlungen
